NAME	FECHA	LAYER	TIPO_FORES	SUP_m2	ALT_DOM	AB	VOL_m3/ha	C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std
CENTRO19	2018/12/01	parcela 19_20	ÑIRE	200	9	11	60	0.0685969442129135	0.0190973225980997	-0.00629642140120268	0.0222482141107321	0.00652474584057927	0.0347634665668011	0.00376268569380045	0.00120954122394323	0.0771951824426651	18.8236961364746	0.012041219510138	0.00547158624976873	0.00663480861112475	0.00389577820897102	0.000367058208212256	0.0000109845223050797	0.000922175007872284	0.000452902546385303	0.000295660138363019	0.738745868206024
CENTRO20	2018/12/01	parcela 19_20	ÑIRE	200	10.2	18	121	0.0627878755331039	-0.0120613723993301	0.000807371980044991	0.0275109224021435	0.00642185751348734	0.0653637945652008	-0.0111830811947584	0.0014683052431792	0.106067754328251	25.7188320159912	0.00886628124862909	0.00434539979323745	0.00415404187515378	0.00418825121596456	0.00945124216377735	0.0084421606734395	0.00743935629725456	0.00825265236198902	0.023772869259119	0.692086160182953
CENTRO1	2018/10/05	parcela 1_2	ÑIRE	200	8.4	32.4	102.1	0.087628997862339	0.0158222690224648	0.00561445346102119	0.0127337947487831	-0.0206038765609264	0.0639885365962982	-0.00398001912981272	0.00333483796566725	0.0767496228218079	23.8940963745117	0.0491322129964829	0.00338868866674602	0.0175352580845356	0.0120893949642777	0.0103084584698081	0.00292199780233204	0.0120885148644447	0.00364103447645903	0.0306568704545498	0.01424858905375
CENTRO2	2018/10/05	parcela 1_2	ÑIRE	200	9.2	44	225	0.0595786087214947	0.0159165076911449	-0.00582515960559249	0.0278091877698898	-0.00416947156190872	0.0614018142223358	0.0108888270333409	0.00429874612018466	0.0693214684724808	24.3752193450928	0.0110715674236417	0.00331063894554973	0.0063470178283751	0.0035227844491601	0.00283460924401879	0.00511638540774584	0.00231940252706409	0.00262862676754594	0.00374849350191653	0.222937643527985
CENTRO21	2018/12/11	parcela 21_22	ÑIRE	200	10	16	93	0.0797854140400887	-0.00978626869618893	0.0165680125355721	0.0366015918552876	-0.0135723426938057	0.0657094344496727	-0.00172497367020696	0.00430118478834629	0.105100117623806	24.4042148590088	0.00646893354132772	0.00541433272883296	0.00625441828742623	0.00613380502909422	0.00971580855548382	0.0244225542992353	0.00478174071758986	0.0028710390906781	0.0129921967163682	0.149753481149673
CENTRO22	2018/12/11	parcela 21_22	ÑIRE	200	9.8	26	141	0.0965012609958649	-0.0124223558232188	0.00311999046243727	0.0194564741104841	-0.0131845436990261	0.0529217310249805	-0.0242433715611696	-0.00938984472304583	0.0736962631344795	25.6022891998291	0.00904998742043972	0.00423188647255302	0.0033140464220196	0.00532768946141005	0.0090149873867631	0.0163380112498999	0.00332303950563073	0.0060517261736095	0.0141222793608904	0.134374499320984
CENTRO24	2019/10/19	parcela 23_24	ÑIRE	200	10.2	31	177.5	0.0833582282066345	-0.00396487396210432	0.00257264287211001	0.0333078987896442	0.00312893907539547	0.0336056798696518	-0.0044376109726727	-0.00966108217835426	0.0742030069231987	21.7670650482178	0.0184379648417234	0.0017826046096161	0.00185771868564188	0.00369872874580324	0.00619720341637731	0.0197740718722343	0.00761991133913398	0.00568818580359221	0.00692281825467944	1.01990938186646
CENTRO23	2019/10/19	parcela 23_24	ÑIRE	200	8.2	13	67	0.0960792228579521	-0.00321343634277582	0.00184052530676126	0.0402117818593979	0.00630491599440575	0.0373542606830597	-0.0141434613615274	-0.000531482161022723	0.064308799803257	25.430606842041	0.00571062415838242	0.00203113816678524	0.00963349919766188	0.00629145558923483	0.00861834269016981	0.0125087453052402	0.00369715504348278	0.00416493508964777	0.00552719924598932	0.422621726989746
CENTRO25	2019/02/13	parcela 25_26	ÑIRE	200	8.7	40	209	0.0640067532658577	-0.00279094162397087	-0.00774402217939496	0.0164908692240715	-0.00169587845448405	0.0295683946460485	-0.00339268730022013	-0.0028320886194706	0.0757995918393135	35.1960639953613	0.0105606196448207	0.000330926588503644	0.00235080718994141	0.00749074155464768	0.00509081641212106	0.00890700332820416	0.00515662971884012	0.00461693340912461	0.00766708189621568	1.53816270828247
CENTRO26	2019/02/13	parcela 25_26	ÑIRE	200	10.7	33	206	0.100652597844601	-0.0097581073641777	-0.0121185388416052	0.042703241109848	-0.0146820079535246	0.0865586847066879	-0.00237419921904802	0.00263506965711713	0.104905620217323	29.9803218841553	0.0501092672348022	0.0140852220356464	0.00614329520612955	0.00961291883140802	0.00452418765053153	0.00940776895731688	0.00577227678149939	0.00138219480868429	0.0161906611174345	0.316831231117249
