NAME,FECHA,LAYER,TIPO_FORES,SUP_m2,Alt Dom,AB,Vol m3/ha ñire,Vol m3/ha total,manejo,C11,C12r,C12i,C13r,C13i,C22,C23r,C23i,C33,ang,C11_std,C12r_std,C12i_std,C13r_std,C13i_std,C22_std,C23r_std,C23i_std,C33_std,ang_std,LIA,PLIA,IAE,Nr Pix,NDVI,VV,VH,ang,VV_std,VH_std,ang_std,VV,VV (gamma0),VV (beta0),VH,VH (gamma0),VH (beta0),VV_std,VH_std,LIA,PLIA,IAE
CENTRO29,2019/03/21,parcela 29_30,ÑIRE,200,5.6,18,66,79,,0.1154,-0.0399,0.0446,0.0232,0.0029,0.0886,-0.0112,-0.0007,0.0843,27.31,0.0266,0.0098,0.0100,0.0224,0.0078,0.0061,0.0086,0.0102,0.0184,1.1275,27.31,27.30,27.56,3,0.70,0.134,0.028,36.74,0.007,0.001,3.60,0.0745,0.0966,0.1170,0.0333,0.0432,0.0524,0.0080,0.0025,39.22,39.21,39.61
CENTRO30,2019/03/21,parcela 29_30,ÑIRE,200,8,27,117,141,,0.1445,-0.0294,0.0279,0.0625,0.0074,0.0887,-0.0042,-0.0205,0.1311,27.59,0.0247,0.0044,0.0056,0.0050,0.0091,0.0080,0.0040,0.0103,0.0137,0.4889,27.59,27.59,27.56,3,0.63,0.141,0.030,33.77,0.002,0.000,2.64,0.0894,0.1160,0.1404,0.0254,0.0329,0.0398,0.0108,0.0031,41.59,41.44,39.61
CENTRO33,2019/03/25,parcela 33_34,ÑIRE,200,8.9,45,225,225,,0.1100,0.0010,0.0365,0.0301,-0.0342,0.0591,-0.0188,-0.0051,0.1171,18.93,0.0224,0.0039,0.0181,0.0103,0.0159,0.0349,0.0017,0.0036,0.0355,1.0139,18.93,18.79,27.57,3,0.68,0.141,0.028,39.58,0.000,0.000,0.00,0.1221,0.1584,0.1917,0.0277,0.0359,0.0434,0.0042,0.0001,35.54,35.46,39.62
CENTRO34,2019/03/25,parcela 33_34,ÑIRE,200,9.2,38,199,199,,0.1592,0.0442,0.0572,0.0833,-0.0032,0.1150,0.0297,-0.0681,0.1386,22.63,0.0060,0.0117,0.0024,0.0120,0.0044,0.0096,0.0040,0.0113,0.0369,0.6847,22.63,22.15,27.57,3,0.68,0.107,0.039,38.07,0.002,0.004,0.38,0.1100,0.1426,0.1727,0.0212,0.0275,0.0333,0.0081,0.0016,38.60,38.59,39.62
CENTRO35,2019/03/29,parcela 35_36,ÑIRE,200,6.2,9,33,33,,0.0999,0.0103,0.0185,0.0526,-0.0197,0.0972,0.0142,-0.0271,0.1488,28.97,0.0036,0.0031,0.0054,0.0047,0.0098,0.0094,0.0018,0.0034,0.0085,0.5485,28.97,28.96,27.56,3,0.72,0.140,0.026,27.64,0.001,0.001,1.46,0.0906,0.1175,0.1423,0.0284,0.0368,0.0445,0.0053,0.0004,45.81,45.09,39.61
CENTRO36,2019/03/29,parcela 35_36,ÑIRE,200,8.9,34,168,168,,0.1021,0.0093,-0.0038,0.0440,-0.0107,0.0530,-0.0052,-0.0032,0.0933,30.82,0.0048,0.0050,0.0024,0.0034,0.0200,0.0064,0.0033,0.0032,0.0216,0.1307,30.82,30.71,27.56,3,0.72,0.135,0.027,28.87,0.002,0.002,0.57,0.0799,0.1037,0.1256,0.0299,0.0388,0.0470,0.0077,0.0003,45.51,45.14,39.61
CENTRO37,2019/04/04,parcela 37_38,ÑIRE,200,3.3,3,9,9,,0.1389,-0.0071,0.0071,0.0527,0.0186,0.0680,0.0060,0.0137,0.1205,20.93,0.0222,0.0118,0.0028,0.0105,0.0166,0.0099,0.0057,0.0026,0.0041,0.8082,20.93,17.35,27.57,4,0.66,0.066,0.027,43.30,0.004,0.000,0.59,0.0972,0.1261,0.1526,0.0195,0.0253,0.0306,0.0000,0.0000,35.54,35.29,39.62
CENTRO38,2019/04/04,parcela 37_38,ÑIRE,200,4.1,12,33,33,,0.1054,-0.0092,-0.0072,0.0486,0.0120,0.0618,0.0070,0.0244,0.1135,21.32,0.0123,0.0024,0.0159,0.0183,0.0025,0.0089,0.0054,0.0038,0.0116,1.4896,21.32,14.42,27.57,4,0.73,0.082,0.026,49.93,0.001,0.003,1.45,0.0991,0.1285,0.1555,0.0309,0.0401,0.0485,0.0002,0.0074,31.86,30.68,39.62
CENTRO3,2018/10/24,parcela 3_4,ÑIRE,200,12,12,328,330,RALEO,0.0943,0.0092,-0.0164,0.0196,0.0150,0.0546,-0.0305,-0.0093,0.1012,25.37,0.0047,0.0063,0.0019,0.0052,0.0056,0.0089,0.0046,0.0041,0.0070,0.2156,25.37,25.21,27.44,4,0.73,0.083,0.033,42.09,0.001,0.001,0.29,0.0943,0.1221,0.1483,0.0284,0.0368,0.0447,0.0044,0.0013,34.26,34.25,39.52
CENTRO4,2018/10/24,parcela 3_4,ÑIRE,200,9.9,36,194,221,TESTIGO,0.1321,0.0296,0.0211,0.0099,-0.0036,0.0628,-0.0094,0.0076,0.0859,24.30,0.0125,0.0029,0.0050,0.0064,0.0091,0.0118,0.0052,0.0044,0.0064,0.9867,24.30,24.26,27.44,3,0.73,0.095,0.025,41.35,0.000,0.000,0.00,0.1177,0.1524,0.1852,0.0299,0.0387,0.0471,0.0000,0.0000,34.72,34.71,39.52
